product_id,product_name,category_depth1_id,category_depth1_name,category_depth2_id,category_depth2_name,brand_id,brand_name,original_price,discount_amount,discounted_price,img_url
P00001,슬림핏 캐시미어 버튼업 롤탑 백팩 (오프화이트),C006,가방/잡화,C00601,백팩,B001,Martinee Basics,63600,28000,35600,https://picsum.photos/seed/P00001/600/800
P00002,오프화이트 린넨 집업 블라우스 (그레이),C001,상의,C00105,블라우스,B014,Puffer Planet,274900,132000,142900,https://picsum.photos/seed/P00002/600/800
P00003,슬림핏 레더 하이웨이스트 랩 블라우스 (베이지),C001,상의,C00105,블라우스,B007,Daily Grove,13300,2700,10600,https://picsum.photos/seed/P00003/600/800
P00004,오버핏 캐시미어 테이퍼드 비니 (오프화이트),C006,가방/잡화,C00604,모자,B011,Linen Lab,58500,19900,38600,https://picsum.photos/seed/P00004/600/800
P00005,라이트 코튼 퀼팅 가디건 니트 (오프화이트),C001,상의,C00103,니트/스웨터,B012,Denim District,291000,49500,241500,https://picsum.photos/seed/P00005/600/800
P00006,헤비웨이트 플리스 하이웨이스트 랩 원피스 (카키),C004,원피스,C00401,미니 원피스,B018,Minimal Move,312600,68800,243800,https://picsum.photos/seed/P00006/600/800
P00007,라이트 데님 브이넥 미니 백팩 (그레이),C006,가방/잡화,C00601,백팩,B002,Seoul Atelier,62900,21400,41500,https://picsum.photos/seed/P00007/600/800
P00008,빈티지 나일론 집업 점퍼 (라이트블루),C003,아우터,C00304,점퍼/바람막이,B012,Denim District,149900,21000,128900,https://picsum.photos/seed/P00008/600/800
P00009,오버핏 레더 와이드 페니 로퍼 (베이지),C005,신발,C00502,로퍼,B018,Minimal Move,345400,155400,190000,https://picsum.photos/seed/P00009/600/800
P00010,헤비웨이트 코튼 테이퍼드 와이드 슬랙스 (브라운),C002,하의,C00203,슬랙스,B002,Seoul Atelier,150300,21000,129300,https://picsum.photos/seed/P00010/600/800
P00011,소프트 레더 와이드 플리츠 스커트 (라이트블루),C002,하의,C00205,스커트,B011,Linen Lab,250500,47600,202900,https://picsum.photos/seed/P00011/600/800
P00012,워셔블 트위드 와이드 경량 패딩 (버건디),C003,아우터,C00302,패딩/다운,B008,Mono Archive,219300,72400,146900,https://picsum.photos/seed/P00012/600/800
P00013,미니멀 코튼 브이넥 테이퍼드 팬츠 (네이비),C002,하의,C00202,면바지/치노,B017,Baghaus,338900,67800,271100,https://picsum.photos/seed/P00013/600/800
P00014,클래식 폴리 하이웨이스트 캡 (오프화이트),C006,가방/잡화,C00604,모자,B020,Bloom & Wear,287300,74700,212600,https://picsum.photos/seed/P00014/600/800
P00015,라이트 플리스 테이퍼드 하이탑 (오프화이트),C005,신발,C00501,스니커즈,B004,Cloud Nine,163800,60600,103200,https://picsum.photos/seed/P00015/600/800
P00016,에센셜 울 롱 나일론 쇼츠 (오프화이트),C002,하의,C00204,반바지,B001,Martinee Basics,337700,97900,239800,https://picsum.photos/seed/P00016/600/800
P00017,오버핏 나일론 버튼업 카드지갑 (오프화이트),C006,가방/잡화,C00605,지갑,B020,Bloom & Wear,288000,28800,259200,https://picsum.photos/seed/P00017/600/800
P00018,미니멀 나일론 드로스트링 첼시 부츠 (그레이),C005,신발,C00503,부츠,B016,Leather Route,40300,10100,30200,https://picsum.photos/seed/P00018/600/800
P00019,헤비웨이트 린넨 롱 코트 스니커즈 (네이비),C005,신발,C00501,스니커즈,B003,Urban Nomad,77200,30900,46300,https://picsum.photos/seed/P00019/600/800
P00020,슬림핏 스웨이드 퀼팅 청키 로퍼 (오프화이트),C005,신발,C00502,로퍼,B009,Weekend Society,115400,33500,81900,https://picsum.photos/seed/P00020/600/800
P00021,미니멀 캐시미어 집업 니트 롱 원피스 (오프화이트),C004,원피스,C00403,맥시 원피스,B015,Sneaker Works,187200,20600,166600,https://picsum.photos/seed/P00021/600/800
